City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Akhtanizovskaya,RU,45.32,37.1,36.07,69,100,20.49,overcast clouds
88,Coihaique,CL,-45.5752,-72.0662,71.55,35,20,8.05,few clouds
89,Villa Bruzual,VE,9.3328,-69.1208,93.13,31,61,6.51,broken clouds
90,Antofagasta,CL,-23.65,-70.4,76.28,69,1,8.77,clear sky
91,Tall Kayf,TR,37.0833,41.0667,44.94,93,100,16.11,moderate rain
92,Mahajanga,MG,-15.7167,46.3167,80.62,89,20,1.14,light rain
93,Conde,BR,-7.2597,-34.9075,87.26,55,20,10.36,few clouds
94,Stephenville Crossing,CA,48.5,-58.4318,21.33,73,75,28.77,light snow
95,Saldanha,ZA,-33.0117,17.9442,69.85,88,25,19.86,scattered clouds
96,Port Elizabeth,ZA,-33.918,25.5701,79.11,92,40,18.41,scattered clouds
97,Sabha,LY,27.0377,14.4283,54.88,41,5,9.95,clear sky
98,Mehran,IR,33.1222,46.1646,55.96,46,100,11.92,overcast clouds
99,Mahebourg,MU,-20.4081,57.7,80.26,89,20,3.44,light rain
100,Surgut,RU,61.25,73.4167,-5.62,84,0,0.0,clear sky
101,Marsh Harbour,BS,26.5412,-77.0636,75.4,75,44,20.62,light rain
102,Amurrio,ES,43.05,-3.0,50.45,64,95,4.5,overcast clouds
103,Wum,CM,6.3833,10.0667,77.2,23,100,2.71,overcast clouds
104,Cidreira,BR,-30.1811,-50.2056,82.13,53,1,15.03,clear sky
105,Puerto Montt,CL,-41.4698,-72.9447,70.63,73,75,5.75,broken clouds
106,Touros,BR,-5.1989,-35.4608,84.79,65,84,13.09,broken clouds
107,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,20,3.44,light rain
108,Tarpon Springs,US,28.1461,-82.7568,79.21,72,0,5.75,clear sky
109,Pastavy,BY,55.1168,26.8326,14.76,98,100,2.35,overcast clouds
110,Marmarion,GR,38.0484,24.3204,41.72,67,100,38.61,overcast clouds
111,San Pedro De Macoris,DO,18.4616,-69.2972,88.41,57,52,15.28,broken clouds
112,Luderitz,NA,-26.6481,15.1594,66.27,76,96,19.19,overcast clouds
113,Rio Grande,BR,-32.035,-52.0986,80.71,73,19,14.25,few clouds
114,Clyde River,CA,70.4692,-68.5914,-14.57,64,100,12.66,overcast clouds
115,Poli,TZ,-3.3333,36.8,77.27,38,20,0.0,few clouds
116,Saint-Pierre,RE,-21.3393,55.4781,80.28,78,20,2.3,light rain
117,Mbanza-Ngungu,CD,-5.25,14.8667,68.0,95,49,4.23,scattered clouds
118,Mitsamiouli,KM,-11.3847,43.2844,81.97,76,95,4.47,overcast clouds
119,Tessalit,ML,20.1986,1.0114,73.26,11,100,9.75,overcast clouds
120,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,79,75,11.5,broken clouds
121,Kuvshinovo,RU,57.0295,34.1725,17.76,91,100,4.76,overcast clouds
122,Muros,ES,42.7762,-9.0603,52.16,74,0,9.13,clear sky
123,Aguada De Pasajeros,CU,22.385,-80.8508,90.45,32,0,7.7,moderate rain
124,Sault Sainte Marie,CA,46.5168,-84.3333,28.96,79,100,10.36,mist
125,Morant Bay,JM,17.8815,-76.4093,87.71,64,6,14.56,clear sky
126,Berlevag,NO,70.8578,29.0864,24.8,73,100,4.61,light snow
127,Bridlington,GB,54.0831,-0.1919,40.89,67,100,5.86,overcast clouds
128,Derbent,RU,42.0678,48.2899,39.18,84,100,5.14,overcast clouds
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.49,81,18,13.94,few clouds
130,Westport,US,41.1415,-73.3579,45.59,50,81,5.99,broken clouds
131,Lesu,RO,47.3167,24.75,19.74,89,24,5.03,few clouds
132,Sao Filipe,CV,14.8961,-24.4956,71.4,61,100,12.75,overcast clouds
133,Gat,IL,31.61,34.7642,56.39,100,39,11.21,scattered clouds
134,Camacha,PT,33.0833,-16.3333,58.42,67,40,11.5,scattered clouds
135,General Elizardo Aquino,PY,-24.4333,-56.7,92.95,28,94,3.2,overcast clouds
136,Pangnirtung,CA,66.1451,-65.7125,-27.4,75,75,0.0,light snow
137,Chanteloup-Les-Vignes,FR,48.9761,2.0326,44.78,76,0,9.22,clear sky
138,Crixas,BR,-14.5489,-49.9692,85.37,63,90,3.87,heavy intensity rain
139,Rio Claro,BR,-22.4114,-47.5614,76.89,76,100,7.2,overcast clouds
140,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,99.1,15,1,3.76,clear sky
141,Luanda,AO,-8.8368,13.2343,82.4,74,75,8.05,broken clouds
142,Margate,GB,51.3813,1.3862,42.69,81,84,5.01,broken clouds
143,Medea,DZ,36.2642,2.7539,39.22,92,0,3.44,clear sky
144,Villazon,BO,-22.0866,-65.5942,56.32,49,100,5.19,overcast clouds
145,Port-Gentil,GA,-0.7193,8.7815,80.56,78,75,8.05,broken clouds
146,Pitimbu,BR,-7.4706,-34.8086,88.39,69,12,11.01,few clouds
147,Naantali,FI,60.4674,22.0243,33.12,86,0,8.05,clear sky
148,Nyrob,RU,60.733,56.7202,-5.33,100,98,3.96,overcast clouds
149,Asfi,MA,32.2994,-9.2372,57.94,63,0,8.16,clear sky
150,Petrolina De Goias,BR,-16.095,-49.3381,76.3,71,57,1.52,moderate rain
151,Praia,CV,14.9215,-23.5087,75.74,57,20,20.71,few clouds
152,Kavaratti,IN,10.5669,72.642,80.71,75,11,7.07,few clouds
153,Morondava,MG,-20.2833,44.2833,78.57,84,43,5.44,moderate rain
154,Ostrovnoy,RU,68.0531,39.5131,5.4,98,84,11.3,broken clouds
155,Saint George,US,37.1041,-113.5841,55.44,37,20,0.0,few clouds
156,Nicoya,CR,10.1483,-85.452,89.67,40,16,16.62,few clouds
157,Namibe,AO,-15.1961,12.1522,72.34,77,36,6.6,scattered clouds
158,Aquiraz,BR,-3.9014,-38.3911,86.09,73,92,9.73,overcast clouds
159,Grand Gaube,MU,-20.0064,57.6608,80.38,77,29,5.01,light rain
160,Puerto Ayora,EC,-0.7393,-90.3518,85.96,89,14,7.0,few clouds
161,Taltal,CL,-25.4,-70.4833,73.67,72,24,6.69,few clouds
162,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,2.3,scattered clouds
163,Novyy Urengoy,RU,66.0833,76.6333,-12.73,100,59,4.12,broken clouds
164,Geraldton,AU,-28.7667,114.6,73.81,73,100,8.05,overcast clouds
165,Moshupa,BW,-24.7782,25.4155,75.24,54,1,3.06,clear sky
166,Bafra,TR,41.5678,35.9069,40.21,70,100,2.51,overcast clouds
167,Matara,LK,5.9485,80.5353,75.87,91,99,2.73,overcast clouds
168,Santa Rosa,PH,14.3122,121.1114,80.58,83,100,7.02,light rain
169,Kerchevskiy,RU,59.946,56.2884,0.21,99,71,4.05,broken clouds
170,Totness,SR,5.8833,-56.3167,79.2,79,68,13.65,broken clouds
171,Walvis Bay,NA,-22.9575,14.5053,66.09,82,100,9.24,overcast clouds
